Designator,Mid X,Mid Y,Layer,Rotation
C1,-7,16.5,top,180
DS1,-5.08,-8.38,top,0
R1,0,16.5,top,180
R2,7,16.5,top,0
R3,-10,-10.4325,top,0
R4,-10,-14.4325,top,0
R5,-10,-18.4325,top,0
R6,-10,-22.4325,top,0
R7,10,-10.3675,top,180
R8,10,-14.3675,top,180
R9,10,-18.3675,top,180
R10,10,-22.3675,top,180
U1,0,10,top,90
